12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
SEASIDE ST 	2300 - 2339 	GREENE ST - LARKSPUR ST 	Not Posted, Both Sides 1st Wed
SEASIDE ST 	2340 - 2379 	LARKSPUR ST - CASTELAR ST 	Not Posted, Both Sides 1st Wed
SEASIDE ST 	2380 - 2399 	CASTELAR ST - CASTELAR ST 	Not Posted, Both Sides 1st Wed
SEASIDE ST 	2400 - 2440 	CASTELAR ST - END 	Not Posted, Both Sides 1st Wed
SEFTON PL 	1850 - 1899 	BEGIN - LA CRESTA DR 	Not Posted, Both Sides Even Month 4th Wed
SEPTEMBER ST 	4900 - 4959 	BEGIN - MARCH PL 	Not Posted, Both Sides Odd Month 3rd Tue
SEPTEMBER ST 	4960 - 5059 	MARCH PL - BURGENER BL 	Not Posted, Both Sides Odd Month 3rd Tue
SEPTEMBER ST 	5060 - 5099 	BURGENER BL - DEERPARK DR 	Not Posted, Both Sides Odd Month 3rd Tue
SEPTEMBER ST 	5100 - 5199 	DEERPARK DR - COWLEY WY 	Not Posted, Both Sides Odd Month 3rd Tue
SEQUOIA ST 	3800 - 3899 	CROWN POINT DR - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SEQUOIA ST 	3900 - 3999 	ROOSEVELT AV - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SEQUOIA ST 	4000 - 4049 	FORTUNA AV - CHICO ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SEQUOIA ST 	4050 - 4099 	CHICO ST - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SERBIAN PL 	3000 - 3039 	EDISON ST - END 	Not Posted, Both Sides Even Month 4th Thu
SEVILLE ST 	3000 - 3099 	ROSECRANS PL - LOCUST ST 	Not Posted, Both Sides Odd Month 1st Wed
SEVILLE ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Odd Month 1st Wed
SHADOWLAWN ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Odd Month 1st Wed
SHADOWLAWN ST 	3200 - 3299 	EVERGREEN ST - WING ST 	Not Posted, Both Sides Odd Month 1st Wed
SHAFTER ST 	1050 - 1099 	UPSHUR ST - CANON ST 	Not Posted, Both Sides Even Month 4th Wed
SHAFTER ST 	1100 - 1149 	CANON ST - AVNDA DE PORTUGAL 	Not Posted, Both Sides Thu
SHAFTER ST 	1150 - 1199 	AVNDA DE PORTUGAL - SHELTER ISLAND DR 	Not Posted, Both Sides Thu
SHAFTER ST 	1200 - 1249 	SHELTER ISLAND DR - CARLETON ST 	Not Posted, Both Sides Thu
SHAFTER ST 	1600 - 1649 	JARVIS ST - KEATS ST 	Not Posted, Both Sides Thu
SHAFTER ST 	1650 - 1699 	KEATS ST - NIMITZ BL 	Not Posted, Both Sides Thu
SHASTA ST 	3750 - 3799 	CROWN POINT DR - LA PLAYA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SHASTA ST 	3800 - 3899 	LA PLAYA AV - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SHASTA ST 	3900 - 3999 	ROOSEVELT AV - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SHASTA ST 	4000 - 4049 	FORTUNA AV - CHICO ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SHASTA ST 	4050 - 4099 	CHICO ST - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SHAWNEE RD 	3400 - 3479 	BAKER ST - SIOUX AV 	Not Posted, Both Sides Even Month 4th Thu
SHAWNEE RD 	3480 - 3499 	SIOUX AV - PRIDEMORE PL 	Not Posted, Both Sides Even Month 4th Thu
SHAWNEE RD 	3500 - 3549 	PRIDEMORE PL - MARK TR 	Not Posted, Both Sides Even Month 4th Thu
SHAWNEE RD 	3550 - 3599 	MARK TR - RAPPAHANNOCK AV 	Not Posted, Both Sides Even Month 4th Thu
SHAWNEE RD 	3600 - 3659 	RAPPAHANNOCK AV - END 	Not Posted, Both Sides Even Month 4th Thu
SHELTER ISLAND DR 	2700 - 2799 	BEGIN - SHAFTER ST 	Not Posted, Both Sides Thu
SHELTER ISLAND DR 	2800 - 2899 	SHAFTER ST - SCOTT ST 	Not Posted, Both Sides Thu
SHELTER ISLAND DR 	2900 - 2999 	SCOTT ST - BYRON ST 	Not Posted, Both Sides Thu
SHERMAN ST 	1000 - 1099 	GRANT ST - MORENA BL 	Not Posted, Both Sides Wed
SHERMAN ST 	3750 - 3799 	KURTZ ST - HANCOCK ST 	Not Posted, Both Sides Fri
SHERMAN ST 	3800 - 3849 	HANCOCK ST - PICKETT ST 	Not Posted, Both Sides Fri
SHERMAN ST 	3850 - 3999 	PICKETT ST - END 	Not Posted, Both Sides Wed
SHERMAN ST 	850 - 899 	ANNA AV - LOVELOCK ST 	Not Posted, Both Sides Wed
SHERMAN ST 	900 - 919 	LOVELOCK ST - CUSTER ST 	Not Posted, Both Sides Wed
SHERMAN ST 	920 - 959 	CUSTER ST - BANKS ST 	Not Posted, Both Sides Wed
SHERMAN ST 	960 - 999 	BANKS ST - GRANT ST 	Not Posted, Both Sides Wed
SILVER GATE AV 	356 - 389 	BEGIN - CEDARBRAE LN 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	390 - 419 	CEDARBRAE LN - SILVER GATE PL 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	420 - 499 	SILVER GATE PL - ROSECROFT LN 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	500 - 520 	ROSECROFT LN - VIA FLORES 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	521 - 549 	VIA FLORES - PIO PICO ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	550 - 599 	PIO PICO ST - DUPONT ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	600 - 638 	DUPONT ST - WARNER ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	639 - 699 	WARNER ST - DUDLEY ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	700 - 716 	DUDLEY ST - DUDLEY ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	717 - 751 	DUDLEY ST - CHARLES ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	752 - 799 	CHARLES ST - WILCOX ST 	Not Posted, Both Sides Even Month 4th Wed
SILVER GATE AV 	800 - 849 	WILCOX ST - JENNINGS ST 	Not Posted, Both Sides Even Month 4th Wed
SIOUX AV 	3700 - 3899 	BEGIN - VIA BELTRAN 	Not Posted, Both Sides Even Month 4th Thu
SIOUX AV 	3900 - 4099 	VIA BELTRAN - SHAWNEE RD 	Not Posted, Both Sides Even Month 4th Thu
SKY ST 	4900 - 4949 	GARDENA PL - BONUS DR 	Not Posted, Both Sides Odd Month 1st Tue
SKY ST 	4950 - 4999 	BONUS DR - END 	Not Posted, Both Sides Odd Month 1st Tue
SLAYEN WY 	3000 - 3099 	STOCKETT WY - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
SOLAR ST 	5140 - 5199 	ELEVATION RD - CUSHMAN AV 	Not Posted, Both Sides Odd Month 1st Tue
SOLEDAD MTN RD 	4600 - 4629 	GARNET AV - FELSPAR ST 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	4630 - 4799 	FELSPAR ST - BERYL WY 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	4800 - 4899 	BERYL WY - BERYL ST 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	4900 - 4999 	BERYL ST - LORING ST 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	5000 - 5099 	LORING ST - CROWNHILL RD 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	5100 - 5249 	CROWNHILL RD - SOLEDAD RANCHO RD 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	5250 - 5299 	SOLEDAD RANCHO RD - EDGEWORTH RD 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD MTN RD 	5300 - 5409 	EDGEWORTH RD - CORAL REEF AV 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RANCHO CT 	5220 - 5359 	SOLEDAD RANCHO RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RANCHO RD 	2200 - 2219 	SOLEDAD MTN RD - MIDDLETON WY 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RANCHO RD 	2220 - 2239 	MIDDLETON WY - SOLEDAD RANCHO CT 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RANCHO RD 	2240 - 2299 	SOLEDAD RANCHO CT - END 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RD 	5000 - 5099 	LAMONT ST - PARK DR 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RD 	5100 - 5173 	LOS ALTOS WY - ALTA VISTA WY 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RD 	5174 - 5249 	PARK DR - LOS ALTOS WY 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RD 	5250 - 5279 	ALTA VISTA WY - ARCHER ST 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD RD 	5280 - 5399 	ARCHER ST - SOLEDAD WY 	Not Posted, Both Sides Odd Month 3rd Wed
SOLEDAD WY 	1700 - 1767 	ALTA VISTA ST - SOLEDAD RD 	Not Posted, Both Sides Odd Month 3rd Wed
SOMAM AV 	4900 - 4979 	ARNOTT ST - BETSY CT 	Not Posted, Both Sides Odd Month 3rd Tue
SOMAM AV 	4980 - 5059 	BETSY CT - END 	Not Posted, Both Sides Odd Month 3rd Tue
SORRENTO DR 	1000 - 1199 	OSPREY ST - OSPREY ST 	Not Posted, Both Sides Even Month 4th Wed
SOTO ST 	2200 - 2299 	VOLTAIRE ST - GREENE ST 	Not Posted, Both Sides 1st Wed
SOTO ST 	2300 - 2399 	GREENE ST - CASTELAR ST 	Not Posted, Both Sides 1st Wed
SOTO ST 	2400 - 2499 	BEGIN - VALETA ST 	Not Posted, Both Sides Odd Month 1st Wed
SOUTHCREST AV 	4900 - 4949 	BEGIN - TOKALON ST 	Not Posted, Both Sides Odd Month 3rd Tue
SOUTHCREST AV 	4950 - 4999 	TOKALON ST - FAIRFIELD ST 	Not Posted, Both Sides Odd Month 3rd Tue
SOUTHERNWOOD WY 	3700 - 3749 	WINDFLOWER WY - TINGLEY LN 	Not Posted, Both Sides Even Month 1st Wed
SOUTHERNWOOD WY 	3750 - 3799 	TINGLEY LN - CANON ST 	Not Posted, Both Sides Even Month 1st Wed
SOUTHVIEW DR 	3700 - 3799 	MONAIR DR - CADDEN DR 	Not Posted, Both Sides Even Month 4th Thu
SOUTHVIEW DR 	3800 - 4099 	CADDEN DR - END 	Not Posted, Both Sides Even Month 4th Thu
SPARKS AV 	4800 - 4899 	BEGIN - GARDENA PL 	Not Posted, Both Sides Odd Month 1st Tue
SPARKS AV 	4900 - 4924 	GARDENA PL - SPARKS PL 	Not Posted, Both Sides Odd Month 1st Tue
SPARKS AV 	4925 - 4950 	SPARKS PL - SPARKS CT 	Not Posted, Both Sides Odd Month 1st Tue
SPARKS AV 	4951 - 4999 	SPARKS CT - BONUS DR 	Not Posted, Both Sides Odd Month 1st Tue
SPARKS CT 	1800 - 1899 	BEGIN - SPARKS AV 	Not Posted, Both Sides Odd Month 1st Tue
SPARKS PL 	1800 - 1899 	SPARKS AV - END 	Not Posted, Both Sides Odd Month 1st Tue
SPORTS ARENA BL 	2400 - 2499 	ENTERPRISE ST - PACIFIC HY SB OFF RA 	Not Posted, Both Sides Mon
SPORTS ARENA BL 	2500 - 3099 	PACIFIC HY SB OFF RA - ROSECRANS (FTG) ST 	Not Posted, Both Sides Fri
SPORTS ARENA BL 	3100 - 3599 	CAM DEL RIO WEST - KEMPER ST 	Not Posted, Both Sides Fri
SPORTS ARENA BL 	3600 - 3799 	KEMPER ST - HANCOCK ST 	Not Posted, Both Sides Fri
SPORTS ARENA BL 	3800 - 3899 	HANCOCK ST - MIDWAY DR 	Not Posted, Both Sides Mon
SPORTS ARENA BL 	3900 - 3999 	MIDWAY DR - CHANNEL WY 	Not Posted, Both Sides Mon
SPORTS ARENA BL 	4000 - 4109 	CHANNEL WY - OLLIE ST 	Not Posted, Both Sides Mon
SPORTS ARENA BL 	4110 - 4199 	OLLIE ST - I-8 EB ON RA 	Not Posted, Both Sides Mon
SPRAY ST 	2100 - 2137 	BRIGHTON AV - LONG BRANCH AV 	Posted (7am - 10am), WS Fri, ES Wed
SPRAY ST 	2138 - 2149 	LONG BRANCH AV - WEST POINT LOMA BL 	Posted (7am - 10am), WS Fri, ES Wed
ST CHARLES ST 	3000 - 3099 	LYTTON ST - CADIZ ST 	Not Posted, Both Sides Thu
STACY AV 	3800 - 3829 	UTE DR - STACY PL 	Not Posted, Both Sides Even Month 4th Thu
STACY AV 	3830 - 3899 	STACY PL - TOMAHAWK LN 	Not Posted, Both Sides Even Month 4th Thu
STACY PL 	4300 - 4399 	STACY AV - END 	Not Posted, Both Sides Even Month 4th Thu
STAFFORD PL 	700 - 749 	BEGIN - AMIFORD DR 	Not Posted, Both Sides Even Month 4th Wed
STERNE ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
STERNE ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
STERNE ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
STERNE ST 	3400 - 3599 	PLUM ST - TENNYSON ST 	Not Posted, Both Sides Even Month 4th Wed
STOCKETT WY 	3000 - 3099 	SLAYEN WY - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
STONEBRIDGE PY 	3250 - 3269 	ISTHMUS CT - JAMAICA CT 	Not Posted, Both Sides Mon, Wed, Thu & Sun
STRANDWAY 	2600 - 2679 	ANACAPA CT - ASBURY CT 	Not Posted, Both Sides Tue
STRANDWAY 	2680 - 2699 	ASBURY CT - SAN LUIS REY PL 	Not Posted, Both Sides Tue
STRANDWAY 	2700 - 2719 	SAN LUIS REY PL - AVALON CT 	Not Posted, Both Sides Tue
STRANDWAY 	2720 - 2749 	AVALON CT - BALBOA CT 	Not Posted, Both Sides Tue
STRANDWAY 	2750 - 2769 	BALBOA CT - BRIGHTON CT 	Not Posted, Both Sides Tue
STRANDWAY 	2770 - 2799 	BRIGHTON CT - CAPISTRANO PL 	Not Posted, Both Sides Tue
STRANDWAY 	2800 - 2829 	CAPISTRANO PL - COHASSET CT 	Not Posted, Both Sides Tue
STRANDWAY 	2830 - 2849 	COHASSET CT - CORONADO CT 	Not Posted, Both Sides Tue
STRANDWAY 	2850 - 2869 	CORONADO CT - DEAL CT 	Not Posted, Both Sides Tue
STRANDWAY 	2870 - 2899 	DEAL CT - SAN GABRIEL PL 	Not Posted, Both Sides Tue
STRANDWAY 	2900 - 2929 	SAN GABRIEL PL - DEVON CT 	Not Posted, Both Sides Tue
STRANDWAY 	2930 - 2949 	DEVON CT - DOVER CT 	Not Posted, Both Sides Tue
STRANDWAY 	2950 - 2969 	DOVER CT - ENSENADA CT 	Not Posted, Both Sides Tue
STRANDWAY 	2970 - 2999 	ENSENADA CT - SAN FERNANDO PL 	Not Posted, Both Sides Tue
SUMTER ST 	3380 - 3399 	ZOE ST - BAKER ST 	Not Posted, Both Sides Even Month 4th Thu
SUNLINE AV 	4900 - 4929 	OSCEOLA AV - DOW PL 	Not Posted, Both Sides Even Month 3rd Tue
SUNLINE AV 	4930 - 4999 	DOW PL - ARROYO LINDO AV 	Not Posted, Both Sides Even Month 3rd Tue
SUNSET CLIFFS BL 	1000 - 1029 	HILL ST - CORDOVA ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	1030 - 1049 	CORDOVA ST - GUIZOT ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	1050 - 1099 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	1100 - 1199 	FROUDE ST - OSPREY ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	1200 - 1349 	OSPREY ST - ADAIR ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	1350 - 1399 	ADAIR ST - POINT LOMA AV 	Not Posted, Both Sides 1st Wed
SUNSET CLIFFS BL 	1400 - 1449 	POINT LOMA AV - BERMUDA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1450 - 1499 	BERMUDA AV - PESCADERO AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1500 - 1549 	PESCADERO AV - ORCHARD AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1550 - 1599 	ORCHARD AV - DEL MAR AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1600 - 1649 	DEL MAR AV - CORONADO AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1650 - 1699 	CORONADO AV - SANTA CRUZ AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1700 - 1749 	SANTA CRUZ AV - DEL MONTE AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1750 - 1799 	DEL MONTE AV - NARRAGANSETT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1800 - 1849 	NARRAGANSETT AV - NIAGARA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1850 - 1899 	NIAGARA AV - NEWPORT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SUNSET CLIFFS BL 	1900 - 1949 	NEWPORT AV - SANTA MONICA AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	1950 - 1999 	SANTA MONICA AV - SARATOGA AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2000 - 2049 	SARATOGA AV - CAPE MAY AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2050 - 2099 	CAPE MAY AV - BRIGHTON AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2100 - 2129 	BRIGHTON AV - LONG BRANCH AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2130 - 2159 	LONG BRANCH AV - MUIR AV 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2160 - 2199 	MUIR AV - VOLTAIRE ST 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2200 - 2249 	VOLTAIRE ST - LOTUS ST 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2250 - 2299 	LOTUS ST - WEST POINT LOMA BL 	Posted (7am - 10am), WS Wed, ES Fri
SUNSET CLIFFS BL 	2300 - 2899 	WEST POINT LOMA BL - SUNSET CLIFFS BL RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL 	2900 - 2929 	SUNSET CLIFFS BL RA - NIMITZ BL 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL 	2930 - 2939 	NIMITZ BL - I-8 WB OFF RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL 	2940 - 3149 	I-8 WB OFF RA - SEA WORLD DR 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL 	700 - 799 	LADERA ST - CARMELO ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	800 - 899 	CARMELO ST - MONACO ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL 	900 - 999 	MONACO ST - HILL ST 	Not Posted, Both Sides Tue
SUNSET CLIFFS BL RA 	0 - 0 	I-8 EB ON RA - I-8 WB OFF RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	INGRAHAM ST - INGRAHAM ST RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	INGRAHAM ST RA - INGRAHAM ST RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	INGRAHAM ST RA - WEST MISSION BAY DR 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	WEST MISSION BAY DR - END 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	WEST MISSION BAY DR - END 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	NIMITZ BL - I-8 EB ON RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	NIMITZ BL - I-8 WB OFF RA 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	SUNSET CLIFFS BL - NIMITZ BL 	Not Posted, Both Sides Thu
SUNSET CLIFFS BL RA 	0 - 0 	BEGIN - SEA WORLD DR 	Not Posted, Both Sides Thu
SUTHERLAND ST 	3400 - 3549 	PACIFIC (FTG) HY - END 	Not Posted, Both Sides Mon
TACOMA ST 	4200 - 4299 	CAFLUR AV - MORAGA AV 	Not Posted, Both Sides Even Month 4th Thu
TALBOT ST 	0 - 0 	CATALINA BL - CATALINA RD 	Not Posted, Both Sides Even Month 1st Wed
TALBOT ST 	2800 - 2899 	ANCHORAGE LN - SCOTT ST 	Not Posted, Both Sides Even Month 4th Wed
TALBOT ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Even Month 4th Wed
TALBOT ST 	3000 - 3099 	ROSECRANS ST - ARMADA TR 	Not Posted, Both Sides Tue
TALBOT ST 	3100 - 3119 	ARMADA TR - EVERGREEN ST 	Not Posted, Both Sides Tue
TALBOT ST 	3120 - 3149 	EVERGREEN ST - HARBOR VIEW DR 	Not Posted, Both Sides Tue
TALBOT ST 	3150 - 3179 	HARBOR VIEW DR - LEROY ST 	Not Posted, Both Sides Tue
TALBOT ST 	3180 - 3299 	LEROY ST - AKRON ST 	Not Posted, Both Sides Tue
TALBOT ST 	3300 - 3389 	AKRON ST - MARTINEZ ST 	Not Posted, Both Sides Tue
TALBOT ST 	3390 - 3399 	MARTINEZ ST - BANGOR ST 	Not Posted, Both Sides Tue
TALBOT ST 	3400 - 3409 	BANGOR ST - GAGE DR 	Not Posted, Both Sides Tue
TALBOT ST 	3410 - 3499 	GAGE DR - CONCORD ST 	Not Posted, Both Sides Tue
TALBOT ST 	3500 - 3549 	CONCORD ST - ALBION ST 	Not Posted, Both Sides Tue
TALBOT ST 	3550 - 3589 	ALBION ST - TINGLEY LN 	Not Posted, Both Sides Tue
TALBOT ST 	3590 - 3599 	TINGLEY LN - CANON ST 	Not Posted, Both Sides Tue
TALBOT ST 	3600 - 3709 	CANON ST - MANOR WY 	Not Posted, Both Sides Even Month 1st Wed
TALBOT ST 	3710 - 3749 	MANOR WY - POINT ST 	Not Posted, Both Sides Even Month 1st Wed
TALBOT ST 	3750 - 3799 	POINT ST - CATALINA BL 	Not Posted, Both Sides Even Month 1st Wed
TALBOT ST 	3800 - 3829 	CATALINA RD - TEMPLE ST 	Not Posted, Both Sides Even Month 1st Wed
TALBOT ST 	3830 - 3899 	TEMPLE ST - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
TAOS DR 	4000 - 4019 	BEGIN - ECOCHEE AV 	Not Posted, Both Sides Odd Month 3rd Tue
TAOS DR 	4020 - 4099 	ECOCHEE AV - TAOS PL 	Not Posted, Both Sides Odd Month 3rd Tue
TAOS DR 	4100 - 4199 	TAOS PL - FOX AV 	Not Posted, Both Sides Odd Month 3rd Tue
TAOS DR 	4200 - 4359 	FOX AV - KAMLOOP AV 	Not Posted, Both Sides Odd Month 3rd Tue
TAOS DR 	4360 - 4399 	KAMLOOP AV - END 	Not Posted, Both Sides Odd Month 3rd Tue
TAOS PL 	3440 - 3499 	BEGIN - TAOS DR 	Not Posted, Both Sides Odd Month 3rd Tue
TARENTO DR 	1000 - 1052 	HILL ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	1053 - 1099 	SANTA BARBARA ST - SAVOY ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	500 - 599 	GARDEN LN - DUPONT ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	600 - 650 	DUPONT ST - SAVOY ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	651 - 799 	SAVOY ST - LOMALAND DR 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	800 - 869 	LOMALAND DR - JENNINGS ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	870 - 899 	JENNINGS ST - JOHN ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	900 - 969 	JOHN ST - TALBOT ST 	Not Posted, Both Sides Even Month 1st Wed
TARENTO DR 	970 - 999 	TALBOT ST - HILL ST 	Not Posted, Both Sides Even Month 1st Wed
TAVARA PL 	400 - 469 	LA CRESCENTIA DR - END 	Not Posted, Both Sides Even Month 4th Wed
TECOLOTE RD 	1000 - 1099 	SEA WORLD DR - WEST MORENA BL 	Not Posted, Both Sides Fri
TECOLOTE RD 	1100 - 1299 	WEST MORENA BL - MORENA BL 	Not Posted, Both Sides Fri
TECOLOTE RD 	1300 - 5199 	MORENA BL - END 	Not Posted, Both Sides Wed
TEMECULA ST 	4290 - 4399 	CAMULOS ST - CLOVIS ST 	Not Posted, Both Sides Odd Month 1st Wed
TEMECULA ST 	4400 - 4499 	CLOVIS ST - WEST POINT LOMA BL 	Not Posted, Both Sides Odd Month 1st Wed
TEMPLE ST 	700 - 799 	CATALINA RD - LOMALAND DR 	Not Posted, Both Sides Even Month 1st Wed
TEMPLE ST 	800 - 844 	LOMALAND DR - END 	Not Posted, Both Sides Even Month 1st Wed
TEMPLE ST 	900 - 979 	JOHN ST - TALBOT ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3000 - 3099 	ROSECRANS ST - END 	Not Posted, Both Sides Even Month 4th Wed
TENNYSON ST 	3100 - 3199 	BEGIN - EVERGREEN ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3400 - 3589 	PLUM ST - STERNE ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3590 - 3599 	STERNE ST - CAPISTRANO ST 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3600 - 3699 	CAPISTRANO ST - CENTRALOMA DR 	Not Posted, Both Sides Even Month 4th Wed
TENNYSON ST 	3700 - 3799 	CENTRALOMA DR - END 	Not Posted, Both Sides Even Month 1st Wed
TENNYSON ST 	3800 - 3899 	ATASCADERO DR - ALICIA DR 	Not Posted, Both Sides Even Month 4th Wed
TENNYSON ST 	3900 - 3999 	ALICIA DR - WELLS ST 	Not Posted, Both Sides Even Month 4th Wed
TENNYSON ST 	4000 - 4099 	WELLS ST - SAN CLEMENTE ST 	Not Posted, Both Sides Even Month 4th Wed
